C,A,L,final_value,total_return,avg_picks
0.5,0.35000000000000003,0.0,492731.72,3.9273,53.62
0.5,0.35000000000000003,0.05,396601.35,2.9660,1.27
0.5,0.35000000000000003,0.1,765709.34,6.6571,1.00
0.5,0.35000000000000003,0.15,673548.32,5.7355,0.00
0.5,0.4,0.0,495498.20,3.9550,53.00
0.5,0.4,0.05,354632.43,2.5463,1.29
0.5,0.4,0.1,765709.34,6.6571,1.00
0.5,0.4,0.15,673548.32,5.7355,0.00
0.5,0.45,0.0,500969.14,4.0097,52.55
0.5,0.45,0.05,354632.43,2.5463,1.29
0.5,0.45,0.1,765709.34,6.6571,1.00
0.5,0.45,0.15,673548.32,5.7355,0.00
0.5,0.5,0.0,497564.54,3.9756,52.18
0.5,0.5,0.05,354632.43,2.5463,1.29
0.5,0.5,0.1,765709.34,6.6571,1.00
0.5,0.5,0.15,673548.32,5.7355,0.00
0.55,0.05,0.0,464246.34,3.6425,64.32
0.55,0.05,0.05,199334.05,0.9933,1.35
0.55,0.05,0.1,647657.64,5.4766,1.00
0.55,0.05,0.15,673548.32,5.7355,0.00
0.55,0.1,0.0,480732.37,3.8073,61.33
0.55,0.1,0.05,199334.05,0.9933,1.35
0.55,0.1,0.1,647657.64,5.4766,1.00
0.55,0.1,0.15,673548.32,5.7355,0.00
0.55,0.15000000000000002,0.0,481979.69,3.8198,58.35
0.55,0.15000000000000002,0.05,235562.05,1.3556,1.31
0.55,0.15000000000000002,0.1,647657.64,5.4766,1.00
0.55,0.15000000000000002,0.15,673548.32,5.7355,0.00
0.55,0.2,0.0,490624.74,3.9062,56.08
0.55,0.2,0.05,275705.28,1.7571,1.27
0.55,0.2,0.1,765709.34,6.6571,1.00
0.55,0.2,0.15,673548.32,5.7355,0.00
0.55,0.25,0.0,486037.72,3.8604,54.03
0.55,0.25,0.05,275705.28,1.7571,1.27
0.55,0.25,0.1,765709.34,6.6571,1.00
0.55,0.25,0.15,673548.32,5.7355,0.00
0.55,0.3,0.0,487777.05,3.8778,52.73
0.55,0.3,0.05,369358.00,2.6936,1.29
0.55,0.3,0.1,765709.34,6.6571,1.00
0.55,0.3,0.15,673548.32,5.7355,0.00
0.55,0.35000000000000003,0.0,504407.98,4.0441,51.52
0.55,0.35000000000000003,0.05,369358.00,2.6936,1.29
0.55,0.35000000000000003,0.1,765709.34,6.6571,1.00
0.55,0.35000000000000003,0.15,673548.32,5.7355,0.00
0.55,0.4,0.0,508475.66,4.0848,50.87
0.55,0.4,0.05,330272.01,2.3027,1.31
0.55,0.4,0.1,765709.34,6.6571,1.00
0.55,0.4,0.15,673548.32,5.7355,0.00
0.55,0.45,0.0,514452.61,4.1445,50.40
0.55,0.45,0.05,330272.01,2.3027,1.31
0.55,0.45,0.1,765709.34,6.6571,1.00
0.55,0.45,0.15,673548.32,5.7355,0.00
0.55,0.5,0.0,511970.17,4.1197,50.02
0.55,0.5,0.05,330272.01,2.3027,1.31
0.55,0.5,0.1,765709.34,6.6571,1.00
0.55,0.5,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.05,0.0,471595.50,3.7160,62.57
0.6000000000000001,0.05,0.05,172129.54,0.7213,1.40
0.6000000000000001,0.05,0.1,647657.64,5.4766,1.00
0.6000000000000001,0.05,0.15,673548.32,5.7355,0.00
0.6000000000000001,0.1,0.0,489885.93,3.8989,59.58
