date,market,risk,flattened,leader,volume
2022-09-12,455418.88297872344,279381.68963612575,321875.8129539102,316996.8138111579,1904893.7147150275
2022-09-13,435616.1347517731,279442.78337975935,309169.1205603842,304344.99854160915,1807469.6415819065
2022-09-14,437278.36879432626,279442.78337975935,309137.27667610283,304200.263807304,1813846.6199990306
2022-09-15,432313.829787234,279534.4239952096,306629.7837676147,302037.0944646437,1798499.517589584
2022-09-16,427260.6382978723,279534.4239952096,303391.6380404537,298660.6901273933,1787065.1178828906
2022-09-19,430574.02482269506,279534.4239952096,305759.271962784,300751.1652098102,1803418.1092920871
2022-09-20,425631.64893617015,279503.8771233928,300702.9740060655,295435.4239321378,1776926.7645518808
2022-09-21,418207.00354609924,279564.97086702636,295737.92998102785,289839.19157255255,1748481.3951259297
2022-09-22,414694.1489361702,279687.15835429344,291252.6306391437,285121.1451349635,1716559.8331594088
2022-09-23,407746.0106382978,279687.15835429344,286143.81212048826,279039.53010166326,1684531.8542499656
2022-09-26,403712.32269503543,279626.06461065996,281900.3460789599,274556.05047796917,1663721.4787511637
2022-09-27,402681.73758865247,279717.7052261102,281157.9072444092,274651.8979003804,1666420.5203991928
2022-09-28,410605.0531914893,279748.252097927,287960.3161169349,282358.1105008931,1702461.428897981
2022-09-29,402027.9255319149,279809.34584156045,282184.82012510614,276883.5638581275,1658198.945569588
2022-09-30,395811.170212766,279809.34584156045,277622.95308205654,272378.4304174224,1632244.9101006205
2022-10-03,406261.08156028367,287196.66352812166,285198.75364324107,278912.49536403216,1675264.147440972
2022-10-04,418849.73404255323,296095.91367863433,295049.35466088465,288813.61897288077,1737001.508279077
2022-10-05,417874.5567375886,295406.5351458481,293814.9131175725,287122.49568021274,1735259.8302214416
2022-10-06,413563.829787234,292359.1686770546,290409.3281284818,283612.87257680733,1720664.0764278844
2022-10-07,402027.9255319149,284204.13398807246,283295.32093805727,276028.99475768267,1654688.771031509
2022-10-10,398958.3333333333,282034.1583791886,281384.04527509166,274166.2879092947,1634420.1976865467
2022-10-11,396431.73758865247,280248.0412715153,280113.08867087704,272963.01245985995,1623346.8146574297
2022-10-12,395124.1134751773,279323.64732982474,278118.22897209,271760.34427542746,1619300.8919516127
2022-10-13,405551.8617021277,286695.29732245894,284728.6582271116,278024.1751738579,1665392.402123132
2022-10-14,396309.8404255319,280161.868954917,278260.23537275015,271000.9928341009,1612804.5489905598
2022-10-17,406493.7943262411,287361.17431435466,284793.5901682814,277736.61486482306,1663268.0252957442
2022-10-18,411269.94680851063,290737.5623556143,288924.42853603297,281655.1298296857,1681279.6284572252
2022-10-19,408355.4964539007,288677.2606042192,285560.1137529159,278348.7130734107,1675900.8001622767
2022-10-20,404931.2943262411,286256.6018925041,282470.0795490817,275005.2350249471,1670108.5916191665
2022-10-21,414771.71985815605,293213.0579960739,288969.8362468786,281720.9113743959,1712373.6571956289
2022-10-24,419847.0744680851,296800.9599053475,292023.9971857667,284812.9274502724,1731825.2122874432
