ticker,entry_1,exit_1,entry_2,exit_2,entry_3,exit_3,num_entries,num_exits
RDC,1996-01-02,2014-08-13,,,,,1,1
BLY,1996-01-02,1996-12-18,,,,,1,1
TEN,1996-01-02,1999-10-29,,,,,1,1
FE,1996-01-02,,,,,,1,0
MMC,1996-01-02,,,,,,1,0
IBM,1996-01-02,,,,,,1,0
YRCW,1996-01-02,1996-10-28,,,,,1,1
BNI,1996-01-02,2010-02-10,,,,,1,1
PEL,1996-01-02,1997-06-18,,,,,1,1
PPL,1996-01-02,,,,,,1,0
AAPL,1996-01-02,,,,,,1,0
KRB,1996-01-02,2005-12-29,,,,,1,1
MOB,1996-01-02,1999-11-30,,,,,1,1
AHM,1996-01-02,1998-09-30,,,,,1,1
SFS,1996-01-02,1997-07-25,,,,,1,1
CHRS,1996-01-02,1998-04-07,,,,,1,1
USB,1996-01-02,,,,,,1,0
UNP,1996-01-02,,,,,,1,0
MZIAQ,1996-01-02,2000-06-27,,,,,1,1
MRO,1996-01-02,2024-11-22,,,,,1,1
DOV,1996-01-02,,,,,,1,0
MWI,1996-01-02,1999-05-19,,,,,1,1
PEG,1996-01-02,,,,,,1,0
PPW,1996-01-02,1999-11-29,,,,,1,1
MAS,1996-01-02,,,,,,1,0
BOL,1996-01-02,2007-10-26,,,,,1,1
HUM,1996-01-02,,,,,,1,0
AS,1996-01-02,1998-11-23,,,,,1,1
UTX,1996-01-02,2020-03-03,,,,,1,1
GWW,1996-01-02,,,,,,1,0
PKI,1996-01-02,2023-05-17,,,,,1,1
BF-B,1996-01-02,2023-05-07,2023-05-14,,,,2,1
AXP,1996-01-02,,,,,,1,0
NEE,1996-01-02,,,,,,1,0
CPB,1996-01-02,,,,,,1,0
LMT,1996-01-02,,,,,,1,0
ABI,1996-01-02,2008-11-20,,,,,1,1
CYM,1996-01-02,1999-10-14,,,,,1,1
ROH,1996-01-02,2009-04-01,,,,,1,1
PNU,1996-01-02,2000-03-29,,,,,1,1
ETS,1996-01-02,2001-08-03,,,,,1,1
TXT,1996-01-02,,,,,,1,0
HLT,1996-01-02,2007-10-24,2017-06-19,,,,2,1
PNC,1996-01-02,,,,,,1,0
TX,1996-01-02,2001-10-04,,,,,1,1
FMC,1996-01-02,2001-12-24,2009-08-19,,,,2,1
AAMRQ,1996-01-02,2003-03-10,,,,,1,1
MAY,1996-01-02,2005-08-22,,,,,1,1
TWX,1996-01-02,2018-06-14,,,,,1,1
CSE,1996-01-22,1999-11-12,,,,,1,1
BAY,1996-02-12,1998-08-28,,,,,1,1
FITB,1996-03-08,,,,,,1,0
GNT,1996-03-13,1998-06-30,,,,,1,1
WCOEQ,1996-04-01,2002-05-14,,,,,1,1
NLV,1996-04-01,2000-01-05,,,,,1,1
AON,1996-04-23,,,,,,1,0
TUP,1996-05-31,2004-03-17,,,,,1,1
MTG,1996-07-19,2008-10-28,,,,,1,1
BMGCA,1996-07-22,1999-08-06,,,,,1,1
HFS,1996-08-16,1997-12-12,,,,,1,1
SEG,1996-08-16,2000-11-20,,,,,1,1
LU,1996-10-01,2006-11-22,,,,,1,1
UPR,1996-10-16,2000-07-14,,,,,1,1
RX,1996-11-04,2010-02-23,,,,,1,1
MBI,1996-12-03,2009-12-17,,,,,1,1
GDT,1996-12-19,2006-04-21,,,,,1,1
AZO,1997-01-02,,,,,,1,0
FRO,1997-01-02,1999-09-21,,,,,1,1
TMO,1997-01-02,,,,,,1,0
EHC,1997-01-08,2003-03-20,,,,,1,1
CNC,1997-01-15,2002-07-24,2016-03-30,,,,2,1
PTC,1997-04-03,2006-12-29,2021-04-20,,,,2,1
ADBE,1997-05-06,,,,,,1,0
CAH,1997-05-27,,,,,,1,0
SCHW,1997-06-02,,,,,,1,0
CFC,1997-06-18,2008-06-30,,,,,1,1
EFX,1997-06-19,,,,,,1,0
WAMUQ,1997-07-02,2008-09-26,,,,,1,1
SAI,1997-07-17,1998-12-31,,,,,1,1
APC,1997-07-28,2019-08-08,,,,,1,1
APA,1997-07-28,,,,,,1,0
PGR,1997-08-04,,,,,,1,0
OI,1997-08-04,2000-12-08,2009-01-02,2016-11-29,,,2,2
HBAN,1997-08-06,,,,,,1,0
MIR,1997-08-07,2000-05-30,2001-04-03,2003-07-16,,,2,2
STT,1997-08-18,,,,,,1,0
CCU,1997-09-02,2008-07-29,,,,,1,1
KLAC,1997-09-15,,,,,,1,0
YUM,1997-10-07,,,,,,1,0
HBOC,1997-10-23,1999-01-07,,,,,1,1
SNV,1997-12-01,2007-12-31,,,,,1,1
BBT,1997-12-04,2019-12-05,,,,,1,1
CINF,1997-12-18,,,,,,1,0
OMC,1997-12-24,,,,,,1,0
LEHMQ,1998-01-12,2008-09-16,,,,,1,1
